subject_id	subject_label	predicate_id	object_id	object_label	object_category	mapping_justification	comment	mapping_group
C77608	ABDOMINAL WALL	skos:exactMatch	59380008	Anterior abdominal wall structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C98702	ABOMASUM	skos:broadMatch	69695003	Stomach structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration	Fourth stomach compartment in ruminants	1
C12472	ADIPOSE TISSUE	skos:exactMatch	55603005	Adipose tissue	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C32235	ADIPOSE TISSUE, BROWN	skos:exactMatch	15965003	Brown fat	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C33889	ADIPOSE TISSUE, WHITE	skos:broadMatch	55603005	Adipose tissue	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration	White-colored adipose tissue that is predominantly composed of cells with a large single vacuole containing lipid	1
C120926	AIR SAC	skos:broadMatch	20139000	Structure of respiratory system	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration	A part of the respiratory system in multiple species (predominantly avian) which are variably connected with the lung.	1
C12372	ARTERY	skos:exactMatch	51114001	Arterial structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12669	ARTERY, AORTA	skos:exactMatch	15825003	Aortic structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C52849	ARTERY, AURICULAR	skos:narrowMatch	68907005	Structure of auricular branch occipital artery	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration	One of the arteries of the pinna; in general it arises from the internal carotid artery or the superficial temporal artery	1
C52849	ARTERY, AURICULAR	skos:narrowMatch	20360001	Structure of posterior auricular artery	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration	One of the arteries of the pinna; in general it arises from the internal carotid artery or the superficial temporal artery	2
C12681	ARTERY, BRACHIAL	skos:exactMatch	17137000	Structure of brachial artery	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C32814	ARTERY, BRACHIOCEPHALIC	skos:exactMatch	12691009	Structure of brachiocephalic artery	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12687	ARTERY, CAROTID	skos:exactMatch	69105007	Carotid artery structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12843	ARTERY, CORONARY	skos:exactMatch	41801008	Coronary artery structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12715	ARTERY, FEMORAL	skos:exactMatch	7657000	Structure of femoral artery	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12733	ARTERY, ILIAC	skos:exactMatch	10293006	Structure of iliac artery	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C52941	ARTERY, INTERNAL THORACIC	skos:exactMatch	69327007	Structure of internal thoracic artery	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C52975	ARTERY, MESENTERIC	skos:exactMatch	86570000	Structure of mesenteric artery	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12774	ARTERY, PULMONARY	skos:exactMatch	81040000	Pulmonary artery structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12778	ARTERY, RENAL	skos:exactMatch	2841007	Structure of renal artery	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C33587	ARTERY, SPINAL	skos:exactMatch	244228006	Spinal artery	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C33643	ARTERY, SUBCLAVIAN	skos:exactMatch	36765005	Structure of subclavian artery	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C13347	ASPIRATE	skos:exactMatch	119295008	Specimen obtained by aspiration	Specimen | Specimen	semapv:ManualMappingCuration		1
C13192	BILE	skos:exactMatch	70150004	Bile	Observation | Substance	semapv:ManualMappingCuration		1
C70699	BIOSPECIMEN	skos:exactMatch	123038009	Specimen	Specimen | Specimen	semapv:ManualMappingCuration		1
C25444	BODY CAVITY	skos:exactMatch	91806002	Body cavity structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12664	BODY CAVITY, ABDOMINAL	skos:exactMatch	818987002	Abdominopelvic cavity	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C77638	BODY CAVITY, CRANIAL	skos:exactMatch	1101003	Cranial cavity structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C92208	BODY CAVITY, EXTRAPERITONEAL	skos:exactMatch	83137009	Structure of extraperitoneal space	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12424	BODY CAVITY, NASAL	skos:exactMatch	53342003	Internal nose structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12421	BODY CAVITY, ORAL	skos:exactMatch	74262004	Oral cavity structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12347	BODY CAVITY, ORBITAL	skos:exactMatch	363654007	Structure of orbit proper	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12767	BODY CAVITY, PELVIC	skos:exactMatch	12921003	Pelvic region	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C38662	BODY CAVITY, PERICARDIAL	skos:exactMatch	25489000	Pericardial cavity structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12769	BODY CAVITY, PERITONEAL	skos:exactMatch	83670000	Peritoneal cavity structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12840	BODY CAVITY, PLEURAL	skos:exactMatch	91381003	Pleural cavity structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12905	BODY CAVITY, THORACIC	skos:exactMatch	43799004	Thoracic cavity structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12366	BONE	skos:exactMatch	272673000	Bone structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12431	BONE MARROW	skos:exactMatch	14016003	Bone marrow structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C77686	BONE MARROW, FEMUR	skos:exactMatch	420902003	Structure of bone marrow of femur	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C77687	BONE MARROW, HUMERUS	skos:exactMatch	712956008	Structure of bone marrow of humerus	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C77688	BONE MARROW, RIB	skos:exactMatch	297221009	Rib bone marrow structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C77689	BONE MARROW, SCAPULA	skos:exactMatch	712939000	Structure of bone marrow of scapula	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C77690	BONE MARROW, STERNUM	skos:exactMatch	297219004	Sternal bone marrow structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C77691	BONE MARROW, TIBIA	skos:exactMatch	422111009	Structure of bone marrow of tibia	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C77692	BONE MARROW, VERTEBRUM	skos:exactMatch	361004007	Structure of bone marrow of vertebra	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C32164	BONE, AUDITORY OSSICLES	skos:exactMatch	422258005	Bone structure of auditory ossicle	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C81188	BONE, CALVARIUM	skos:exactMatch	10927008	Structure of vault of skull	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12688	BONE, CARPAL	skos:exactMatch	83936004	Bone structure of carpus	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12695	BONE, CLAVICLE	skos:exactMatch	51299004	Bone structure of clavicle	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C83002	BONE, CONDYLE	skos:exactMatch	332607006	Structure of condyle	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12717	BONE, FEMUR	skos:exactMatch	71341001	Bone structure of femur	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C135523	BONE, FEMUR/JOINT, FEMOROTIBIAL	skos:exactMatch	129159008	Structure of femorotibial joint	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C135523	BONE, FEMUR/JOINT, FEMOROTIBIAL	skos:exactMatch	71341001	Bone structure of femur	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12718	BONE, FIBULA	skos:exactMatch	87342007	Bone structure of fibula	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12731	BONE, HUMERUS	skos:exactMatch	85050009	Bone structure of humerus	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C32765	BONE, ILIUM	skos:exactMatch	22356005	Bone structure of ilium	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12290	BONE, MANDIBLE	skos:exactMatch	91609006	Bone structure of mandible	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C26470	BONE, MAXILLA	skos:exactMatch	70925003	Bone structure of maxilla	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12751	BONE, METACARPAL	skos:exactMatch	36455000	Metacarpal bone structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12752	BONE, METATARSAL	skos:exactMatch	53884002	Metatarsal bone structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C33282	BONE, PATELLA	skos:exactMatch	64234005	Bone structure of patella	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C33287	BONE, PELVIS	skos:exactMatch	118645006	Bone structure of pelvis	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C33317	BONE, PHALANGE	skos:exactMatch	28641004	Phalanx structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12777	BONE, RADIUS	skos:exactMatch	62413002	Bone structure of radius	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12782	BONE, RIB	skos:exactMatch	113197003	Bone structure of rib	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12783	BONE, SCAPULA	skos:exactMatch	79601000	Bone structure of scapula	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12789	BONE, SKULL	skos:exactMatch	89546000	Bone structure of cranium	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12793	BONE, STERNUM	skos:exactMatch	56873002	Bone structure of sternum	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12796	BONE, TARSUS	skos:exactMatch	108371006	Bone structure of tarsus	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12800	BONE, TIBIA	skos:exactMatch	12611008	Bone structure of tibia	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12809	BONE, ULNA	skos:exactMatch	23416004	Bone structure of ulna	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C33868	BONE, VERTEBRA	skos:exactMatch	420345000	Bone structure of vertebra	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12439	BRAIN	skos:exactMatch	12738006	Brain structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12440	BRAIN, AMYGDALOID BODY	skos:exactMatch	4958002	Amygdaloid structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12447	BRAIN, BASAL GANGLIA	skos:exactMatch	32610002	Basal ganglion structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12441	BRAIN, BRAIN STEM	skos:exactMatch	15926001	Brainstem structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12445	BRAIN, CEREBELLUM	skos:exactMatch	113305005	Cerebellar structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12351	BRAIN, CEREBRUM	skos:exactMatch	372073000	Cerebral hemisphere structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12694	BRAIN, CHOROID PLEXUS	skos:exactMatch	80621003	Structure of choroid plexus	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12837	BRAIN, COCHLEAR NUCLEI	skos:exactMatch	17661006	Cochlear nucleus structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12446	BRAIN, CORPUS CALLOSUM	skos:exactMatch	88442005	Corpus callosum structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C40185	BRAIN, FOREBRAIN	skos:exactMatch	81861006	Prosencephalon structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12444	BRAIN, HIPPOCAMPUS	skos:exactMatch	5366008	Hippocampal structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12458	BRAIN, HYPOTHALAMUS	skos:exactMatch	67923007	Hypothalamic structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12442	BRAIN, MEDULLA OBLONGATA	skos:exactMatch	26519002	Medulla oblongata structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12510	BRAIN, MIDBRAIN	skos:exactMatch	61962009	Midbrain structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C92592	BRAIN, OBEX	skos:broadMatch	26519002	Medulla oblongata structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration	The region of the medulla oblongata at which the fourth ventricle transitions into the central canal of the spinal cord	1
C28401	BRAIN, OLFACTORY BULB	skos:exactMatch	113302008	Structure of olfactory bulb	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12511	BRAIN, PONS	skos:exactMatch	49557009	Pontine structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12453	BRAIN, SUBSTANTIA NIGRA	skos:exactMatch	70007007	Substantia nigra structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12459	BRAIN, THALAMUS	skos:exactMatch	42695009	Thalamic structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C97340	BRAIN, VISUAL CORTEX	skos:exactMatch	113300000	Area striata structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12683	BRONCHUS	skos:exactMatch	955009	Bronchial structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C32234	BRONCHUS-ASSOCIATED LYMPHOID TISSUE	skos:broadMatch	22226004	Structure of lymphoid tissue of lung	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration	Lymphoid tissue located in the mucosa of the bronchi	1
C84507	BUFFY COAT	skos:exactMatch	258587000	Buffy coat	Specimen | Specimen	semapv:ManualMappingCuration		1
C111141	BURSA OF FABRICIUS	skos:broadMatch	89890002	Structure of lymphatic system	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration	A region of the cloaca in avian species responsible for B-cell maturation	1
C25264	CARINA	skos:exactMatch	28700002	Structure of carina of trachea	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C66852	CAROTID BODY	skos:exactMatch	51345006	Carotid body structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C32268	CARTILAGE	skos:exactMatch	771314001	Cartilage structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12311	CERVIX	skos:exactMatch	71252005	Cervix uteri structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C13070	CHEEK	skos:exactMatch	60819002	Cheek structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C111156	CHEEK POUCH	skos:broadMatch	123851003	Mouth region structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration	An invagination of the oral mucosa within the cheek of some mammals that forms a pocket	1
C12308	CLITORIS	skos:exactMatch	65439009	Clitoral structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C34127	CLOACA	skos:exactMatch	64582000	Cloaca structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12341	CONJUNCTIVA	skos:exactMatch	29445007	Conjunctival structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12902	CONJUNCTIVA, BULBAR	skos:exactMatch	1832000	Structure of bulbar conjunctiva	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12901	CONJUNCTIVA, PALPEBRAL	skos:exactMatch	15768007	Structure of palpebral conjunctiva	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12374	CONNECTIVE TISSUE	skos:exactMatch	21793004	Connective tissue structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12316	CORPUS UTERI	skos:exactMatch	23952005	Body of uterus structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C32392	COSTOCHONDRAL JUNCTION	skos:exactMatch	27756000	Chondrocostal synchondrosis structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C111162	CROP	skos:broadMatch	51289009	Digestive tract structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration	A saccular expansion of the esophagus in most avian species that can be used for food storage	1
C12948	DUCT	skos:exactMatch	343011009	Duct (organ) structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12376	DUCT, BILE	skos:exactMatch	28273000	Bile duct structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12698	DUCT, COMMON BILE	skos:exactMatch	79741001	Common bile duct structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C32356	DUCT, COMMON HEPATIC	skos:exactMatch	725502003	Structure of common hepatic duct	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C32421	DUCT, CYSTIC	skos:exactMatch	77452001	Cystic duct structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C32492	DUCT, EFFERENT	skos:exactMatch	59914003	Structure of efferent ductule of testis	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C33161	DUCT, NASOLACRIMAL	skos:exactMatch	15753006	Nasolacrimal duct structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C154699	DUCT, PANCREATIC	skos:exactMatch	69930009	Pancreatic duct structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12394	EAR	skos:exactMatch	117590005	Ear structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12498	EAR CANAL	skos:exactMatch	84301002	External auditory canal structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12395	EAR, COCHLEA	skos:exactMatch	80169004	Cochlear structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12328	EPIDIDYMIS	skos:exactMatch	87644002	Epididymis structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C33732	EPIDIDYMIS, CAUDA	skos:exactMatch	9321006	Structure of tail of epididymis	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C32529	EPIPHYSIS	skos:exactMatch	43719000	Structure of epiphysis	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12389	ESOPHAGUS	skos:exactMatch	32849002	Esophageal structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12500	EUSTACHIAN TUBE	skos:exactMatch	91207004	Structure of pharyngotympanic tube	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12401	EYE	skos:exactMatch	81745001	Eye structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12667	EYE, ANTERIOR CHAMBER	skos:exactMatch	31636006	Anterior chamber of eye structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C13190	EYE, AQUEOUS HUMOR	skos:exactMatch	87321005	Structure of aqueous humor	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12344	EYE, CHOROID	skos:exactMatch	68703001	Choroidal structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12345	EYE, CILIARY BODY	skos:exactMatch	29534007	Ciliary body structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12342	EYE, CORNEA	skos:exactMatch	28726007	Corneal structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12737	EYE, IRIS	skos:exactMatch	41296002	Iris structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12743	EYE, LENS	skos:exactMatch	78076003	Lens clear	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12900	EYE, POSTERIOR CHAMBER	skos:exactMatch	65643003	Structure of posterior chamber of eye	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C49328	EYE, RETINA	skos:exactMatch	5665001	Retinal structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C12784	EYE, SCLERA	skos:exactMatch	18619003	Scleral structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
